,text
181,"If @UN hadn't dumped its raw sewage in #Haiti's rivers, Elimen Fransya would not have had #cholera.@HaitiJustice @ijdh @potus #ShareHumanity "
182,"If @UN hadn't dumped its sewage in #Haiti's rivers, Gerneus Emiliènne wouldn't have had #cholera. @HaitiJustice @ijdh @potus #ShareHumanity "
183,"If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? https://t.co/8m8nbWqJQl https://t.co/CO7keGvJbj "
184,"In a previous post entitled ""Cholera in Haiti: Urgent"" I asked readers… https://t.co/vsoUZhIBfN | #Follow @MrKoolodo "
185,In photos: combatting #cholera in #Haiti https://t.co/NEiZdh1EI8 @pahowho #vaccineswork #globalhealth https://t.co/SAQkDLq8mF 
186,"In the wake of devastating Hurricane Matthew, Haiti aims to vaccinate 800,000 people to prevent cholera #Haiti https://t.co/m67B2u0nFL "
187,Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/Wmy0gaOZQA 
188,"Instead of paying damages for infecting 700,000 Haitians with cholera,UN pushes useless vaccine  https://t.co/fU1XJqYPJC via @newsjunkiepost "
189,it makes a mockery of its efforts to hold Governments and others to account' #Haiti #cholera (part2/2) 
190,"Jeòm wrote @UN on #cholera:""I ask for justice &amp; reparations quickly. I demand justice."" @HaitiJustice @ijdh @POTUS https://t.co/qIQEg2NeJI "
191,"Killing 10,000 and Counting https://t.co/hzmEuovEPs "
192,"Killing 10,000 and Counting https://t.co/hzmEuovEPs "
193,"Killing 10,000 and Counting https://t.co/nHwSo2co1X "
194,"King Cholera is still a reality for so many people, and a huge killer of the young and vulnerable. Terrifying.… https://t.co/PKdv4EPfyv "
195,Latest: Cholera Outbreak Rips Through Haiti Following Hurricane Matthew | Morning Joe | MSNBC https://t.co/wTlvueVaSb 
196,Let's add HAITI to that list -giving toxic GRAY water pooped in to HAITIAN earthquake victims as DRINKING WATER whi… https://t.co/ysPXG0Um7G 
197,"Linked To Outbreak, U.N. Considers $400 Million Plan For Cholera In Haiti"
198,"Media predicting win for Clinton's puppet in Haiti After Admitting Role in Haiti Cholera Crisis, UN Donates $400M"
199,"Mennonite Central Committee fights cholera, supports Haitian farmers after hurricane - Reliefweb https://t.co/jQbloFfVmB #Hurricane "
200,"MJ covering cholera in Haiti is like evangelical DT supporters following hate sermons with ""Have a blessed day!""  N… https://t.co/H93mtvqFUN "
201,Morning Joe: Cholera Rips through Haiti after Hurricane Matthew - Haiti Sentinel https://t.co/00o40ERWmW 
202,Morning Joe's DR DAVE on his incredible trip with AmeriCares to Haiti https://t.co/r7REKqnuny 
203,MSNBC YouTube:  Cholera Outbreak Rips Through Haiti Following Hurricane Matthew | Morning Joe | MSNBC https://t.co/UlcikPo8JU #news 
204,MSNBC:  Cholera outbreak rips through Haiti https://t.co/pBBtjLh7gX 
205,"New post: HAITI-HEALTH-Haiti successfully vaccinates 729, 000 persons against cholera https://t.co/LBN0vQuWJy "
206,"New: On #Haiti #Cholera ICP Asks #BanKiMoon Delay, UN Spox Dujarric Says Next Week, But Off Record? https://t.co/pjv86qOIwD "
207,"News:  Haiti: Mennonite Central Committee fights cholera, supports Haitian farmers after hurricane https://t.co/fOlJ37IPHZ "
208,"NPR Investigates the latest push to vaccinate against Cholera in Haiti. You can listen to the segment, and learn... https://t.co/hTdQ3OZFm4 "
209,"On #Haiti cholera ICP asks #BanKiMoon spox when Ban will belatedly present his aid plan. “Next week, briefing”- off… https://t.co/X2ld5QSKqW "
210,"On Haiti cholera , ICP just asked #BanKiMoon spox when Ban will belatedly present “material assistance” plan. A: next week "
211,"OPS OMS | Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against cholera https://t.co/2WRtm24DY4 #haiti "
212,"PAHO WHO | Haiti’s Ministry of Health successfully vaccinates  729, 000 persons against cholera https://t.co/1a1CzzgkRT "
213,"PAHO WHO | Haiti’s Ministry of Health successfully vaccinates  729, 000 persons against cholera… https://t.co/CfwlfLh9U8 "
214,"PAHO WHO | Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against cholera https://t.co/t38EPaTKL1 #haiti #cholera "
215,"PepsiCo Donates Gatorade For Cholera Victims And PepsiCo Foundation Provides $750,000 To Impacted Communities In ... https://t.co/bDjd25xF5K "
216,"PepsiCo Donates Gatorade For Cholera Victims And PepsiCo Foundation Provides $750,000 To Impacted Communities In…… https://t.co/jglhue0pE2 "
217,"pharmaMKTnet #Haiti’s Ministry of Health successfully vaccinates 729, 000 persons against #cholera https://t.co/ZDuqUBLFcE via… … "
218,"pnwsocialists: After Admitting Role in Haiti Cholera Crisis (years after), UN Donates $400M via /r/socialism … https://t.co/n5vyPmzF2E #ju… "
219,"PORT-AU-PRINCE, Haiti – Mennonite Central Committee (MCC) is working… https://t.co/rgXFQ41NOj | #Follow @MrKoolodo "
220,Praying for Haiti's locals- and the situation with the current Cholera outbreak... https://t.co/pwoVPptEzc 
221,rape https://t.co/p9xX8f5yP2
222,Remarkable progress made towards cholera justice! But the #endHaiticholera campaign not yet over!  Details here:
223,Retweeted PAHO/WHO (@pahowho):
224,RT @AAFPFoundation: Donate today to help with disaster relief efforts for victims of Hurricane Matthew! https://t.co/FBoJNVVC6x https://t.c… 
225,"RT @AllanStevo: Cholera in Haiti very sad story.Never endemic to Haiti,was brought there by infected Nepalese UN workers post-earthquake.10… "
226,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
227,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
228,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
229,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
230,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
231,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
232,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
233,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
234,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
235,RT @Americares: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/xBllGogK8Z @Morning_Joe… 
236,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
237,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
238,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
239,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
240,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
241,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
242,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
243,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
244,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
245,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
246,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
247,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
248,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
249,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
250,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
251,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
252,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
253,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
254,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
255,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
256,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
257,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
258,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
259,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
260,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
261,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
